"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2024-12-28,"wk inc flu hosp",-1,2024-12-21,"02","sample","0200",16
2024-12-28,"wk inc flu hosp",0,2024-12-28,"02","sample","0200",16
2024-12-28,"wk inc flu hosp",1,2025-01-04,"02","sample","0200",17
2024-12-28,"wk inc flu hosp",2,2025-01-11,"02","sample","0200",19
2024-12-28,"wk inc flu hosp",3,2025-01-18,"02","sample","0200",15
2024-12-28,"wk inc flu hosp",-1,2024-12-21,"02","sample","0201",16
2024-12-28,"wk inc flu hosp",0,2024-12-28,"02","sample","0201",16
2024-12-28,"wk inc flu hosp",1,2025-01-04,"02","sample","0201",17
2024-12-28,"wk inc flu hosp",2,2025-01-11,"02","sample","0201",19
2024-12-28,"wk inc flu hosp",3,2025-01-18,"02","sample","0201",15
2024-12-28,"wk inc flu hosp",-1,2024-12-21,"02","sample","0202",17
2024-12-28,"wk inc flu hosp",0,2024-12-28,"02","sample","0202",17
2024-12-28,"wk inc flu hosp",1,2025-01-04,"02","sample","0202",19
2024-12-28,"wk inc flu hosp",2,2025-01-11,"02","sample","0202",15
2024-12-28,"wk inc flu hosp",3,2025-01-18,"02","sample","0202",19
2024-12-28,"wk inc flu hosp",-1,2024-12-21,"02","sample","0203",17
2024-12-28,"wk inc flu hosp",0,2024-12-28,"02","sample","0203",17
2024-12-28,"wk inc flu hosp",1,2025-01-04,"02","sample","0203",19
2024-12-28,"wk inc flu hosp",2,2025-01-11,"02","sample","0203",15
2024-12-28,"wk inc flu hosp",3,2025-01-18,"02","sample","0203",19
2024-12-28,"wk inc flu hosp",-1,2024-12-21,"02","sample","0204",17
2024-12-28,"wk inc flu hosp",0,2024-12-28,"02","sample","0204",17
2024-12-28,"wk inc flu hosp",1,2025-01-04,"02","sample","0204",19
2024-12-28,"wk inc flu hosp",2,2025-01-11,"02","sample","0204",15
2024-12-28,"wk inc flu hosp",3,2025-01-18,"02","sample","0204",19
2024-12-28,"wk inc flu hosp",-1,2024-12-21,"02","sample","0205",17
2024-12-28,"wk inc flu hosp",0,2024-12-28,"02","sample","0205",17
2024-12-28,"wk inc flu hosp",1,2025-01-04,"02","sample","0205",19
2024-12-28,"wk inc flu hosp",2,2025-01-11,"02","sample","0205",15
2024-12-28,"wk inc flu hosp",3,2025-01-18,"02","sample","0205",19
2024-12-28,"wk inc flu hosp",-1,2024-12-21,"02","sample","0206",17
2024-12-28,"wk inc flu hosp",0,2024-12-28,"02","sample","0206",17
2024-12-28,"wk inc flu hosp",1,2025-01-04,"02","sample","0206",19
2024-12-28,"wk inc flu hosp",2,2025-01-11,"02","sample","0206",15
